idStar Pred CC EA EC LPV MIRA NOVA RCorB RRab typeIICep Sum per flag
1-25234 RRab 0 0 0 0 0 0 0 1 0 1 0.0228708308174434 NonS
1-25418 EC 0 0 1 0 0 0 0 0 0 1 1.14307560427228 NonS
1-25606 EC 0 0 1 0 0 0 0 0 0 1 1.31710522343379 NonS
1-26085 CC 1 0 0 0 0 0 0 0 0 1 1.75880618061825 NonS
1-26178 LPV 0 0 0 1 0 0 0 0 0 1 93.4342288562329 NonS
1-26311 RRab 0 0 0 0 0 0 0 1 0 1 0.332104717946733 NonS
1-26409 CC 1 0 0 0 0 0 0 0 0 1 1.00103571912909 NonS
1-26410 RRab 0 0 0 0 0 0 0 1 0 1 0.239927170206448 NonS
1-26866 RRab 0 0 0 0 0 0 0 1 0 1 0.0251273624912324 OverS
1-27274 EC 0 0 1 0 0 0 0 0 0 1 3.80582148864299 NonS
1-27512 CC 1 0 0 0 0 0 0 0 0 1 1.00091941291528 NonS
1-27661 RRab 0 0 0 0 0 0 0 1 0 1 0.0274124972171552 NonS
1-28037 EC 0 0 1 0 0 0 0 0 0 1 1.25571387134702 NonS
1-28136 RRab 0 0 0 0 0 0 0 1 0 1 0.0515731889316608 NonS
1-28252 CC 1 0 0 0 0 0 0 0 0 1 1.00091941291528 NonS
1-28641 CC 1 0 0 0 0 0 0 0 0 1 6.33658913956961 NonS
1-28896 CC 1 0 0 0 0 0 0 0 0 1 1.54999956571771 NonS
1-28994 EA 0 1 0 0 0 0 0 0 0 1 6.70240234859993 NonS
1-29885 RRab 0 0 0 0 0 0 0 1 0 1 0.0241419636130481 NonS
1-30300 CC 1 0 0 0 0 0 0 0 0 1 1.2910512868796 NonS
1-30348 CC 1 0 0 0 0 0 0 0 0 1 1.27235686500304 NonS
1-30463 RRab 0 0 0 0 0 0 0 1 0 1 0.0317536403612221 NonS
1-30602 RRab 0 0 0 0 0 0 0 1 0 1 0.0360303728661161 NonS
1-30644 CC 1 0 0 0 0 0 0 0 0 1 3.02589196939874 Sig
1-31396 EC 0 0 1 0 0 0 0 0 0 1 2.01622575784372 NonS
1-31536 CC 1 0 0 0 0 0 0 0 0 1 1.0060470738421 NonS
1-31579 RRab 0 0 0 0 0 0 0 1 0 1 0.249316518541695 NonS
1-31889 CC 1 0 0 0 0 0 0 0 0 1 1.02763154795384 NonS
1-31984 EC 0 0 1 0 0 0 0 0 0 1 1.4418530749925 NonS
1-32374 CC 1 0 0 0 0 0 0 0 0 1 4.84889848923403 NonS
1-32618 EC 0 0 1 0 0 0 0 0 0 1 7.06404276309274 NonS
1-32620 RRab 0 0 0 0 0 0 0 1 0 1 0.0460660406749104 NonS
1-33057 RRab 0 0 0 0 0 0 0 1 0 1 0.0280444165762727 OverS
1-33138 RRab 0 0 0 0 0 0 0 1 0 1 0.0735778500532716 OverS
1-33247 EC 0 0 1 0 0 0 0 0 0 1 3.42854733801713 NonS
1-33366 RRab 0 0 0 0 0 0 0 1 0 1 0.0608669321991375 NonS
1-33483 RRab 0 0 0 0 0 0 0 1 0 1 1.00091941291528 NonS
1-34012 RRab 0 0 0 0 0 0 0 1 0 1 0.0255144318253524 NonS
1-34082 RRab 0 0 0 0 0 0 0 1 0 1 0.0211963980673062 NonS
1-34200 EC 0 0 1 0 0 0 0 0 0 1 3.76207641406088 NonS
1-34449 EC 0 0 1 0 0 0 0 0 0 1 2.02556635480984 NonS
1-34502 CC 1 0 0 0 0 0 0 0 0 1 2.00416128318329 NonS
1-34829 EC 0 0 1 0 0 0 0 0 0 1 3.05412735325005 NonS
1-35454 EC 0 0 1 0 0 0 0 0 0 1 1.23471801240488 NonS
1-35926 CC 1 0 0 0 0 0 0 0 0 1 2.7199499835731 NonS
1-36149 LPV 0 0 0 1 0 0 0 0 0 1 245.475486017473 Sig
1-36361 EC 0 0 1 0 0 0 0 0 0 1 11.9684615705486 NonS
1-36511 CC 1 0 0 0 0 0 0 0 0 1 59.5092087315085 Sig
1-36664 CC 1 0 0 0 0 0 0 0 0 1 6.33485125206381 NonS
1-36888 RRab 0 0 0 0 0 0 0 1 0 1 0.050701863922155 NonS
1-36960 RRab 0 0 0 0 0 0 0 1 0 1 0.0789695434249 NonS
1-37100 CC 1 0 0 0 0 0 0 0 0 1 67.7173754530959 NonS
1-37232 CC 1 0 0 0 0 0 0 0 0 1 1.43069039440357 NonS
1-37311 RRab 0 0 0 0 0 0 0 1 0 1 0.025929295032744 NonS
1-37722 CC 1 0 0 0 0 0 0 0 0 1 1.36850445166535 NonS
1-37887 EC 0 0 1 0 0 0 0 0 0 1 4.71426697182923 NonS
1-38073 EC 0 0 1 0 0 0 0 0 0 1 1.15927029996445 NonS
1-38205 CC 1 0 0 0 0 0 0 0 0 1 50.353945849738 NonS
1-38367 RRab 0 0 0 0 0 0 0 1 0 1 0.0283790790060518 NonS
1-38550 CC 1 0 0 0 0 0 0 0 0 1 1.18301439044565 NonS
